Started Server , Thu Nov 30 12:41:14 CET 2023, 1
Retrieved Mail ID from file (0) , Thu Nov 30 12:41:14 CET 2023, 2
Stored Mail ID to file (0) , Thu Nov 30 12:41:14 CET 2023, 3
Stopped Server , Thu Nov 30 12:41:14 CET 2023, 4
Started Server , Thu Nov 30 12:41:14 CET 2023, 5
Retrieved Mail ID from file (0) , Thu Nov 30 12:41:14 CET 2023, 6
Stored Mail ID to file (0) , Thu Nov 30 12:41:14 CET 2023, 7
Stopped Server , Thu Nov 30 12:41:14 CET 2023, 8
Started Server , Thu Nov 30 12:41:14 CET 2023, 9
Retrieved Mail ID from file (0) , Thu Nov 30 12:41:14 CET 2023, 10
Stored Mail ID to file (0) , Thu Nov 30 12:41:15 CET 2023, 11
Stopped Server , Thu Nov 30 12:41:15 CET 2023, 12
Started Server , Thu Nov 30 12:41:15 CET 2023, 13
Retrieved Mail ID from file (0) , Thu Nov 30 12:41:15 CET 2023, 14
Stored Mail ID to file (0) , Thu Nov 30 12:41:15 CET 2023, 15
Stopped Server , Thu Nov 30 12:41:15 CET 2023, 16
Started Server , Thu Nov 30 12:41:15 CET 2023, 17
Retrieved Mail ID from file (0) , Thu Nov 30 12:41:15 CET 2023, 18
Stored Mail ID to file (0) , Thu Nov 30 12:41:15 CET 2023, 19
Stopped Server , Thu Nov 30 12:41:15 CET 2023, 20
Started Server , Thu Nov 30 12:41:15 CET 2023, 21
Retrieved Mail ID from file (0) , Thu Nov 30 12:41:15 CET 2023, 22
Stored Mail ID to file (0) , Thu Nov 30 12:41:18 CET 2023, 23
Stopped Server , Thu Nov 30 12:41:18 CET 2023, 24
